serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
ZL202FFN,ST16000NM001G,89,0,24.0,54446.0,237.0,4295032833.0,35.0,32.0,32.0
ZL202GMS,ST16000NM001G,90,0,0.0,54484.0,0.0,0.0,35.0,0.0,0.0
ZL202GYZ,ST16000NM001G,90,0,0.0,42167.0,0.0,0.0,26.0,0.0,0.0
ZL202J7M,ST16000NM001G,90,0,0.0,56782.0,0.0,0.0,49.0,0.0,0.0
ZL202JV2,ST16000NM001G,90,0,0.0,56786.0,0.0,0.0,34.0,0.0,0.0
ZL202K4M,ST16000NM001G,90,0,0.0,55141.0,6.0,0.0,30.0,0.0,0.0
ZL202KZF,ST16000NM001G,90,0,0.0,42165.0,0.0,0.0,27.0,0.0,0.0
ZL202LGA,ST16000NM001G,90,0,0.0,54484.0,0.0,0.0,39.0,0.0,0.0
ZL202M1P,ST16000NM001G,90,0,0.0,42168.0,0.0,0.0,27.0,0.0,0.0
ZL202M6J,ST16000NM001G,90,0,0.0,55126.0,0.0,4295032833.0,30.0,0.0,0.0
ZL202M7Z,ST16000NM001G,90,0,0.0,54483.0,0.0,184686411851.0,37.0,0.0,0.0
ZL202MST,ST16000NM001G,90,0,0.0,55143.0,0.0,0.0,32.0,0.0,0.0
ZL202N7D,ST16000NM001G,90,0,16.0,55125.0,0.0,12885098505.0,30.0,0.0,0.0
ZL202NX7,ST16000NM001G,90,0,0.0,56767.0,0.0,0.0,30.0,0.0,0.0
ZL202NYH,ST16000NM001G,90,0,8.0,42170.0,0.0,0.0,28.0,0.0,0.0
ZL202P1X,ST16000NM001G,90,0,0.0,56778.0,0.0,0.0,31.0,0.0,0.0
ZL202P20,ST16000NM001G,90,0,0.0,42169.0,0.0,0.0,27.0,0.0,0.0
ZL202P5N,ST16000NM001G,90,0,0.0,39501.0,0.0,0.0,38.0,0.0,0.0
ZL202P84,ST16000NM001G,90,0,0.0,55139.0,0.0,0.0,33.0,0.0,0.0
ZL202PQ7,ST16000NM001G,90,0,0.0,42167.0,0.0,0.0,27.0,0.0,0.0
ZL202PSQ,ST16000NM001G,90,0,0.0,55133.0,0.0,0.0,32.0,0.0,0.0
ZL202PSW,ST16000NM001G,90,0,0.0,55133.0,0.0,0.0,29.0,0.0,0.0
ZL202PSZ,ST16000NM001G,90,0,0.0,56789.0,0.0,0.0,31.0,0.0,0.0
ZL202W2X,ST16000NM001G,90,0,0.0,55142.0,0.0,0.0,31.0,0.0,0.0
ZL202W3B,ST16000NM001G,90,0,0.0,56787.0,0.0,0.0,27.0,0.0,0.0
ZL202W8V,ST16000NM001G,90,0,760.0,55133.0,0.0,0.0,33.0,0.0,0.0
